10
F77P8B,Smith,John,123 Main St,Anytown,CA,12345,US,johnsmith@gmail.com,j.smith@yahoo.com
6T49E2,Johnson,Jane,456 1st Ave,Smallville,NY,67890,US,janej@gmail.com
C84A1D,Doe,Mark,789 Elm St,Bigcity,TX,54321,US,mdoe@hotmail.com,mark.doe@gmail.com
H22B9F,Wong,Emily,12 Oak Ln,Anytown,CA,12345,US,emilywong@gmail.com
K65N8S,Chen,David,345 Maple Dr,Smallville,NY,67890,US,davidchen@yahoo.com
R98M4T,Singh,Kate,678 Pine St,Bigcity,TX,54321,US,katesingh@gmail.com,kate.singh@yahoo.com
L77F2A,Miller,Michael,901 Main St,Anytown,CA,12345,US,michaelmiller@gmail.com,mike.miller@yahoo.com
G91N7E,Williams,Susan,234 Oak St,Smallville,NY,67890,US,susanw@gmail.com
A73R2P,Brown,Chris,567 Pine Ln,Bigcity,TX,54321,US,chrisbrown@gmail.com
B49H5S,Davis,Julia,890 Maple Ave,Anytown,CA,12345,US,juliadavis@yahoo.com
